Nodes,size_SCC,size_WCC,mean_dist,diameter,clustering_global,degree_assortativity,density,Normal,Week
1849,1630,1849,4.5322040068777725e-6,3.165670770011175e-4,0.2580546623522696,0.07204147432091142,0.025335152498484028,weight_sum,2021-03-08
1849,1630,1849,0.003349647067465914,0.23396739853773685,0.2580546623522696,0.07204147432091142,0.025335152498484028,weight_max,2021-03-08
1849,1620,1849,165.67967120750163,16447.3226528231,0.25949124624286585,0.07779639311894113,0.02667757697503506,totalVisits,2021-03-15
1849,1620,1849,0.008769355273555792,0.14403065837398898,0.25949124624286585,0.07779639311894113,0.02667757697503506,weight_inv,2021-03-15
1849,1620,1849,0.002029643873558431,0.2327802697855179,0.25949124624286585,0.07779639311894113,0.02667757697503506,weight_range,2021-03-15
1849,1620,1849,4.00670689826881e-6,3.9775308974765444e-4,0.25949124624286585,0.07779639311894113,0.02667757697503506,weight_sum,2021-03-15
1849,1620,1849,0.0023486083085454963,0.2331506234544647,0.25949124624286585,0.07779639311894113,0.02667757697503506,weight_max,2021-03-15
1851,1636,1851,200.0782184346093,12983.60522324027,0.2849392224179828,0.097247654664528893,0.023025683706396835,totalVisits,2021-03-22
1851,1636,1851,0.008592040443297713,0.12408528322276724,0.2849392224179828,0.097247654664528893,0.023025683706396835,weight_inv,2021-03-22
1851,1636,1851,0.0029966198386960404,0.21545305387159974,0.2849392224179828,0.097247654664528893,0.023025683706396835,weight_range,2021-03-22
1851,1636,1851,4.822188839632159e-6,3.129245986666085e-4,0.2849392224179828,0.097247654664528893,0.023025683706396835,weight_sum,2021-03-22
1851,1636,1851,0.003328202269462571,0.21597585538240938,0.2849392224179828,0.097247654664528893,0.023025683706396835,weight_max,2021-03-22
1851,1658,1851,183.3581845639979,5728.124833105001,0.2869880284112931,0.12787942490412058,0.02279702717304014,totalVisits,2021-03-29
1851,1658,1851,0.00914018220762323,0.14490606478304846,0.2869880284112931,0.12787942490412058,0.02279702717304014,weight_inv,2021-03-29
1851,1658,1851,0.0022930329881176163,0.0829063659732272,0.2869880284112931,0.12787942490412058,0.02279702717304014,weight_range,2021-03-29
1851,1658,1851,4.501324092438326e-6,1.4062173650453147e-4,0.2869880284112931,0.12787942490412058,0.02279702717304014,weight_sum,2021-03-29
1851,1658,1851,0.002672784588995293,0.08349801136049173,0.2869880284112931,0.12787942490412058,0.02279702717304014,weight_max,2021-03-29
1850,1640,1850,191.42914855174752,14607.795178483919,0.2928509697860882,0.14020749797295035,0.022310671948313918,totalVisits,2021-04-05
1850,1640,1850,0.009346328992245405,0.17997603244126315,0.2928509697860882,0.14020749797295035,0.022310671948313918,weight_inv,2021-04-05
1850,1640,1850,0.0027645933225103414,0.2343611631054212,0.2928509697860882,0.14020749797295035,0.022310671948313918,weight_range,2021-04-05
1850,1640,1850,4.69530002822856e-6,3.582943435360697e-4,0.2928509697860882,0.14020749797295035,0.022310671948313918,weight_sum,2021-04-05
1850,1640,1850,0.003079185670215685,0.23497003422584273,0.2928509697860882,0.14020749797295035,0.022310671948313918,weight_max,2021-04-05
1848,1644,1848,188.39117707784743,4258.84437427282,0.28815515518823676,0.12965619137135861,0.02249582217097106,totalVisits,2021-04-12
1848,1644,1848,0.009408468826120644,0.17929191576937575,0.28815515518823676,0.12965619137135861,0.02249582217097106,weight_inv,2021-04-12
1848,1644,1848,0.002550088454489438,0.06476755322296435,0.28815515518823676,0.12965619137135861,0.02249582217097106,weight_range,2021-04-12
1848,1644,1848,4.682170986683725e-6,1.0584698219573418e-4,0.28815515518823676,0.12965619137135861,0.02249582217097106,weight_sum,2021-04-12
1848,1644,1848,0.0028925103833108,0.06538921707782919,0.28815515518823676,0.12965619137135861,0.02249582217097106,weight_max,2021-04-12
1847,1651,1847,184.8114524787909,4280.708205061417,0.28626242485553244,0.13137943229731658,0.02285601493681593,totalVisits,2021-04-19
1847,1651,1847,0.009388349049218866,0.08124174484336177,0.28626242485553244,0.13137943229731658,0.02285601493681593,weight_inv,2021-04-19
1847,1651,1847,0.002918953467819639,0.07757907249771945,0.28626242485553244,0.13137943229731658,0.02285601493681593,weight_range,2021-04-19
1847,1651,1847,4.651001374233938e-6,1.0772914490653207e-4,0.28626242485553244,0.13137943229731658,0.02285601493681593,weight_sum,2021-04-19
1847,1651,1847,0.003377696600591681,0.07823613395397744,0.28626242485553244,0.13137943229731658,0.02285601493681593,weight_max,2021-04-19
1847,1636,1847,181.39508740459803,4108.658083001406,0.28892651601324854,0.10306393840332898,0.02202159690892848,totalVisits,2021-04-26
